order_id,customer_id,restaurant_id,order_time,delivery_time,customer_location,restaurant_location,order_value,rating
O295p57nE,,,,,PO Box 54023,,,
O906k11aF,C6026,,10/26/2022,,Apt 1475,20th Floor,,
O452z64aQ,C3761,R2972,11/12/2022,,5th Floor,,,2.3
O573w99bY,,R3374,,,Room 136,,,
O139f09yG,,,4/8/2022,,Suite 90,,38.88,
O896v31bW,,,,,Apt 962,,,
O428j40qC,,,12/18/2022,7/13/2022,PO Box 3994,18th Floor,,
O591c58oR,C8303,,,,PO Box 39197,,,
O737v20bY,C2883,,,10/10/2022,15th Floor,,,
O650y63tB,C5928,,,,PO Box 45786,,23.04,
O743q91pL,C2165,,,,Room 1722,Suite 38,,
O497u17jX,C1511,,,6/14/2022,5th Floor,Apt 1213,73.86,
O592s97iW,C3567,,,,PO Box 21550,,,2.2
O533f42pJ,,R2687,8/29/2022,,Apt 1755,PO Box 45217,,
O988u82aZ,C3429,R1584,6/25/2022,,Room 572,15th Floor,,1.5
O920l40sE,C2960,,8/31/2022,,Apt 1616,,,
O424n48aI,,R4268,10/14/2022,,Apt 1632,,5.46,
O960m90bV,,,,1/8/2022,PO Box 29651,,35.39,
O301f33dR,C6827,,10/17/2022,,Apt 203,Suite 39,,3.5
O234i07iO,C2834,R1792,,,PO Box 70747,,,
O696l89zA,C2941,R7200,5/24/2022,,19th Floor,Room 203,,
O204t88gQ,,R9390,,,11th Floor,Room 19,,
O734h41bY,C2246,R9288,2/24/2022,7/4/2022,6th Floor,Room 1746,,
O836s18fD,,R9979,,,Room 1915,,,
O901d42rW,,,,,Apt 1164,,,
O842b86eP,C7861,,4/19/2022,4/30/2022,PO Box 77765,Apt 163,,
O101f11jQ,,,11/15/2022,8/1/2022,Suite 38,5th Floor,,
O735j91yP,C0634,R8011,10/14/2022,11/7/2022,PO Box 24482,,,
O497w84eL,,R1312,,3/12/2022,Apt 1821,,,
O927g98tM,,,9/2/2022,,Apt 649,1st Floor,,
O530s65sT,C6783,R5309,,9/28/2022,Apt 599,,,
O616z52pR,C0753,,6/15/2022,,16th Floor,,,
O413j69zX,C0160,R2490,,,Suite 94,,,
O981x13qE,,,,8/30/2022,Apt 1453,,,
O796d30iM,,,,8/28/2022,Apt 247,,,
O061b16fD,,R9585,6/7/2022,10/21/2022,Apt 449,,,
O430l36cN,,R5936,,,3rd Floor,Room 1331,,
O820g81kX,C5624,R4351,,6/12/2022,Apt 535,20th Floor,99.52,
O433x28vH,C6805,R2578,6/5/2022,5/27/2022,10th Floor,4th Floor,,4.1
O733c49cO,C4314,R2943,,7/30/2022,Suite 56,18th Floor,,
O613u03jS,,,3/19/2022,4/28/2022,Room 1954,,,
O554l57iT,C6755,,12/5/2022,6/2/2022,Room 411,,32.76,
O025x37rI,C1144,R1630,10/13/2022,,Apt 444,Apt 355,,
O861t93sB,,,,,Apt 367,,,
O687n58xN,C3625,,,2/15/2022,Apt 1872,PO Box 57710,,
O972w15xN,,R4744,,2/18/2022,Apt 1191,,,
O814p60eN,,R4524,,,Room 1564,,,
O706d73cI,C6254,R1915,7/23/2022,8/28/2022,Suite 94,9th Floor,,
O105d93lX,C7541,,12/5/2022,2/20/2022,19th Floor,Suite 51,24.94,
O886u96nQ,,R8987,,3/17/2022,Apt 954,13th Floor,,
O103d56wW,,,,2/1/2022,PO Box 17024,,,
O794d99cV,C9492,,12/28/2022,,Room 1566,17th Floor,,
O456v24rT,,,,,Suite 70,Apt 1376,,
O788i55qI,C6556,,9/2/2022,,Suite 10,3rd Floor,,
O412n69wP,,,,,Suite 30,,,
O972z14hC,C9744,,11/8/2022,8/30/2022,Room 438,13th Floor,,
O049s04lV,C8672,R8586,8/22/2022,,Room 627,18th Floor,,
O487p94yN,C0300,R7216,8/28/2022,,14th Floor,Suite 31,,
O760f28tI,C2882,R7575,,,PO Box 74884,Room 1898,,1.6
O295s52tF,C4081,,1/10/2022,,PO Box 6706,Apt 1159,82.88,
O708w07zB,C5403,,7/25/2022,,Room 1049,Room 1040,43.82,
O982r38jY,C5067,R1151,,,PO Box 52616,Suite 39,,
O368u58kV,C3403,,9/30/2022,9/25/2022,PO Box 33081,,,
O542x51xW,C7088,,,9/15/2022,Suite 53,,92.28,
O433x59zF,,R6683,,10/30/2022,PO Box 46277,,68.24,
O506c05wA,,,,7/13/2022,Room 844,,,
O920l67sI,,R7021,,,Room 1829,Room 1870,,
O878d61mK,C1449,,5/5/2022,,Apt 1150,Suite 20,,
O474d47uQ,,,11/5/2022,,PO Box 34314,PO Box 64137,,
O456x47iU,C2189,,3/13/2022,,Suite 17,Room 1448,,
O907w00fP,C9067,R6952,,8/14/2022,Suite 85,,3.58,1.3
O777i94aI,,R6863,3/28/2022,,Room 1488,,,
O693i64bT,,,3/16/2022,,Suite 78,Suite 80,1.34,
O350n92cZ,,,,4/7/2022,Room 128,PO Box 36586,,
O758y12iR,,R8785,5/18/2022,,14th Floor,,,
O374q96iI,C9154,,,,6th Floor,Apt 377,,
O980v71yJ,,R4989,10/18/2022,,Room 480,Room 294,,
O064l20fJ,C4077,,,,Suite 6,17th Floor,,
O947x83mE,C1485,,3/7/2022,,2nd Floor,,,
O603y27cV,,R4823,8/16/2022,,PO Box 53101,Suite 83,,
O216p93wB,,R3989,4/24/2022,11/4/2022,3rd Floor,Apt 431,,1.9
O015a30fD,,R4243,,,Apt 1235,,,
O502u94oQ,,R8268,,,Suite 29,13th Floor,,
O426g13vT,,R6275,6/23/2022,,Room 846,,,4.3
O064d41iB,,,,5/11/2022,14th Floor,Room 429,,
O261d91xN,,,,12/14/2022,Room 518,,,
O354s74sZ,C7100,,,,PO Box 50281,,,2.9
O822p60vT,C9338,,,7/27/2022,Apt 1647,Room 1998,,
O873s14oP,C9382,R9207,6/18/2022,,Room 920,,,
O887y59tH,C0663,,,8/25/2022,Apt 696,,,
O230u93nJ,C9966,,8/8/2022,6/29/2022,PO Box 5960,Apt 523,,
O515p73dU,C3347,,12/14/2022,10/15/2022,PO Box 42223,Suite 90,,
O760j53yN,,R5558,,,PO Box 6108,,,
O752j50vZ,C2495,R2072,6/3/2022,,Apt 1108,,,
O099a34zQ,C4911,,1/24/2022,10/4/2022,Apt 1152,,,
O500q88zC,,,,7/6/2022,6th Floor,,,5.0
O633u46oW,,R3209,1/3/2022,,PO Box 61106,Apt 1172,,4.4
O682x79eN,C9534,,1/13/2022,12/10/2022,PO Box 94223,Apt 1719,,1.0
O919f37gZ,C0227,,3/28/2022,,Apt 1567,Room 434,,
O319u71qP,,R8059,11/16/2022,,PO Box 50658,,,
O235h57qB,,,,3/3/2022,Apt 318,,,
O096e30aZ,,,9/15/2022,,Apt 1504,,,
O205k93eY,,,6/11/2022,,PO Box 74898,,,
O135q91sZ,,,2/4/2022,8/31/2022,Apt 1793,,,
O966i88eQ,C9088,,12/24/2022,,Apt 1048,Room 1015,,
O659j43rY,C7729,,,,Suite 94,,,
O959e94fR,C7731,R2306,2/12/2022,,PO Box 42265,,17.74,
O604o87mE,,R8209,,,Suite 56,,99.56,
O232u45wE,,,,9/5/2022,Room 1410,,,
O048n60tN,C4517,R8824,3/12/2022,10/12/2022,PO Box 47885,,,
O260g72oB,,,7/26/2022,2/19/2022,PO Box 96020,PO Box 14881,,
O211y43vW,,,,,Suite 61,,,2.9
O980v18dL,,R1417,,12/8/2022,Room 347,,,2.9
O354e20fR,,,,,Room 418,,,
O720m73sQ,,,7/2/2022,,Apt 1600,Suite 18,,3.1
O354s89fQ,C0047,R8157,2/19/2022,6/29/2022,Suite 97,,,
O661i98eT,C7738,,,,1st Floor,8th Floor,,
O259u52lN,,,,5/28/2022,Apt 548,15th Floor,,
O840l56pV,C4692,R4864,3/2/2022,,PO Box 6235,,,
O413b26wA,,,,12/27/2022,13th Floor,PO Box 40208,,
O707h42cE,C0356,,9/28/2022,,Suite 75,,,3.0
O613i16uJ,,R3948,,,Apt 874,,59.86,
O052m72wO,C0359,R1760,7/28/2022,,15th Floor,PO Box 86889,,
O476j58eT,,R0389,8/19/2022,,Room 362,10th Floor,,
O059s94eA,C6403,,1/19/2022,,5th Floor,,,2.2
O776z89iT,C4255,R5352,,6/5/2022,Room 677,Room 1658,,
O037i71jK,C1403,R0626,,6/3/2022,15th Floor,,,
O570d26aK,,R4222,,,PO Box 64835,Apt 119,,3.0
O849t77pP,,,,8/9/2022,PO Box 71369,2nd Floor,,
O058p75uN,C5429,R4300,,,2nd Floor,PO Box 58667,,
O015m02uZ,C1267,R2321,1/30/2022,,PO Box 37523,Room 396,,4.0
O569j58pP,,,,,Suite 34,4th Floor,,
O280u28wC,C4725,R8005,,12/10/2022,Suite 49,PO Box 97883,,4.4
O925x00iM,,R7741,,,Apt 1416,Room 697,,
O059d48qS,C4416,,,,Apt 192,Apt 1921,,
O200n30kL,C2990,,,4/13/2022,Room 243,PO Box 55456,,
O781h87oR,,,,,Apt 982,Apt 1386,,
O568l61eG,,,10/10/2022,,Apt 1021,PO Box 94986,21.44,4.1
O672o67mZ,C5956,,,9/19/2022,Room 733,,,
O880t75jD,,R9820,,5/21/2022,Suite 65,Suite 55,13.55,2.2
O550d97rN,C1285,,,,Apt 1059,Room 1449,,
O887w04xG,C1144,,,11/23/2022,12th Floor,Apt 942,,
O788w40xV,,R4442,6/18/2022,11/25/2022,PO Box 53316,19th Floor,67.64,
O513r58dM,,R5887,,8/11/2022,Apt 964,PO Box 12499,42.58,
O975t47tV,,,,2/1/2022,9th Floor,14th Floor,,
O796j84kW,C6441,R1875,5/3/2022,7/12/2022,Apt 1936,14th Floor,,
O787t93rT,,,,11/5/2022,Apt 1703,,62.41,
O883u62eS,,R3488,,8/16/2022,8th Floor,Apt 1216,,
O114p57jV,,R0238,11/14/2022,7/5/2022,Room 94,Apt 1758,,2.6
O641l74cR,,,,,Room 738,1st Floor,,
O426p49hW,,,,,18th Floor,,,
O937q08xK,,,3/25/2022,,Suite 70,Room 1619,,
O052s84kX,C1564,,11/14/2022,,Apt 1508,Apt 1861,,
O797y58dQ,C4290,,,7/20/2022,17th Floor,Suite 48,,3.7
O309o58gL,,R1555,,,Suite 5,,87.92,
O276q45jM,,R8244,,5/16/2022,12th Floor,,,2.4
O124l24hZ,C9307,,,1/19/2022,Apt 815,,,
O650k11bU,C6035,R8552,5/16/2022,,Apt 1678,Room 1957,,
O755a73hB,C9558,R4923,7/8/2022,,18th Floor,Apt 1981,38.83,
O831l18bI,,,,,Apt 218,,,
O300k14uL,C5375,,5/5/2022,11/23/2022,Apt 940,PO Box 28752,,
O072s71uI,,R9270,3/27/2022,3/12/2022,PO Box 54533,,,
O605r71gH,,R5243,1/11/2022,6/9/2022,Apt 1729,,,
O138p76zK,C1825,,4/5/2022,,PO Box 5537,Apt 1621,,
O414z83qL,C0350,R4238,7/16/2022,,9th Floor,,85.75,
O601i00xT,C0999,R2068,2/16/2022,,13th Floor,,,
O831l96zI,C6695,R3632,2/21/2022,2/17/2022,Room 1688,,,
O334x43gX,,R5514,,,Apt 1288,Apt 983,,
O432x58iN,C9563,R0387,9/2/2022,,Room 1175,Suite 66,,
O763y81hC,,R9441,1/26/2022,,Room 1286,Suite 79,,
O011s87lC,,,5/28/2022,,PO Box 19488,Suite 67,23.54,
O284f76wX,,,11/11/2022,5/7/2022,16th Floor,PO Box 39600,84.57,
O874u35mZ,C9442,R8855,11/30/2022,1/20/2022,Apt 162,Apt 930,,
O551p50rT,C8834,,,9/15/2022,Apt 488,Suite 93,,4.4
O241w83tN,,R7386,10/26/2022,,Suite 13,Apt 1437,53.13,1.7
O890z04pE,,R2657,,,20th Floor,12th Floor,,3.5
O552q30fV,C0288,R6008,8/28/2022,6/16/2022,Room 1993,Room 1738,,
O975s07bG,C8736,R4969,2/1/2022,10/16/2022,9th Floor,,,
O838x44hG,C9549,R3848,,9/16/2022,Apt 1736,,6.83,
O346p91xQ,C2918,R8802,,11/22/2022,PO Box 65856,Apt 1938,79.39,
O304e75gO,C3011,R0238,,8/2/2022,9th Floor,1st Floor,,
O147c62iM,,R7906,,4/15/2022,Apt 1266,Apt 1419,,1.3
O678s29lY,C3746,R1086,,,PO Box 52839,Room 1270,,
O665o32rU,,,5/31/2022,,PO Box 47068,Room 1881,95.58,4.5
O152k78yQ,,R7878,,3/29/2022,11th Floor,Apt 378,,
O635i65iJ,C6801,R9660,,7/27/2022,Room 1734,PO Box 62943,70.75,
O223m34mN,,R0939,2/2/2022,3/21/2022,Suite 28,,,
O365l04mN,,R7115,6/20/2022,,Room 452,,,4.5
O291h56qX,,,,11/23/2022,13th Floor,,,
O305s04lF,C7264,,3/24/2022,,Suite 83,,29.29,1.4
O957x40aO,,,4/16/2022,,Apt 1377,PO Box 54784,,
O482i74sH,,R4836,,,Suite 5,Suite 24,,
O699i46nT,C3498,R3250,,,PO Box 17607,Room 1316,,
O777r21zY,C4763,R7276,9/19/2022,4/19/2022,Room 1671,,,
O135s88sQ,C8259,,12/21/2022,,PO Box 93406,PO Box 93297,,
O415s71zM,C6576,R1262,12/15/2022,,Suite 14,Suite 44,,
O589s53vL,C0901,,,3/19/2022,Room 1239,,,
O938f69wB,C2190,,5/18/2022,2/25/2022,7th Floor,Apt 790,0.22,3.8
O951n25xW,,R6130,8/6/2022,7/30/2022,Room 1392,,,
O002v99xY,C2965,R8601,,7/1/2022,Room 1723,Suite 21,,1.5
O013f27vV,,R0500,10/7/2022,,PO Box 75346,Room 1566,,1.8
O592m94bZ,C4299,R9901,,12/14/2022,PO Box 70924,1st Floor,,
O396m28pZ,,,2/21/2022,5/27/2022,PO Box 79277,,,
O010n07mE,C4908,R5893,6/22/2022,2/20/2022,Apt 303,,76.64,
O464h75cM,C6881,,10/14/2022,4/24/2022,Apt 1997,Apt 336,,
O929w76sA,,,12/27/2022,8/14/2022,PO Box 45382,,54.78,
O917c47hF,,,11/3/2022,,Room 32,PO Box 76221,,
O945e77sF,C4886,,,,Room 1441,10th Floor,,4.2
O432b92oU,C6968,R6277,,11/12/2022,Apt 1869,,,
O454u20bZ,,,1/24/2022,,15th Floor,,,
O889g91eM,,,12/23/2022,1/3/2022,PO Box 67228,PO Box 30140,,
O709d64cD,,R5788,4/26/2022,5/13/2022,Apt 338,4th Floor,,
O411a37yE,C9907,,3/19/2022,,Suite 54,Suite 94,20.94,
O944x90jO,C2495,R3883,,,Suite 24,,,
O861y78yM,,R6114,1/26/2022,4/8/2022,Apt 202,PO Box 37221,77.92,2.5
O544p25dO,,R7953,,10/18/2022,Apt 97,,,
O040o74yM,,,10/26/2022,9/20/2022,Suite 95,Room 547,,
O993r10lH,,R8909,,,Suite 22,PO Box 84933,56.28,3.4
O862c40vT,,R9149,3/27/2022,9/2/2022,Apt 1348,,,1.5
O934i81aG,C3982,,10/2/2022,6/18/2022,2nd Floor,,26.49,2.8
O124q98gK,,,10/22/2022,,PO Box 36428,,,
O241z15sV,,R6187,11/18/2022,11/20/2022,Room 801,,15.54,2.7
O435m48bA,C5725,,12/14/2022,12/2/2022,Apt 1213,17th Floor,48.35,
O100a26hI,C7516,,,,Room 646,7th Floor,,
O442x20kC,,R9236,,,Suite 33,Suite 81,,
O538i17tC,,R5764,,1/13/2022,17th Floor,Apt 523,47.48,
O710b47jD,,R5059,1/4/2022,,Suite 40,Room 1436,,
O690f74mM,,R9865,,6/12/2022,Apt 340,Room 1688,,4.1
O137r03kW,C3271,,,,Room 1927,Apt 173,,3.0
O010r41qJ,,R8315,,,Apt 1486,,,2.6
O276n35kT,C6975,,1/4/2022,,Room 546,13th Floor,,3.9
O581w55oJ,,R8012,,,12th Floor,,,
O435j29sW,,R6233,,,12th Floor,,,
O372v80tG,,,,12/17/2022,PO Box 17675,,,
O042j57kU,,,,,Room 563,,,4.4
O530h41rP,,,9/17/2022,1/26/2022,Room 597,Apt 882,,2.4
O948x95zR,C1970,,,12/20/2022,Suite 16,,20.08,1.2
O972m69qA,C6185,,,8/7/2022,PO Box 94369,Room 562,,
O005v86hI,C4283,,,,PO Box 71339,5th Floor,,
O346d87yT,C2104,R2127,7/31/2022,4/2/2022,Room 1916,5th Floor,38.61,
O352x22vM,C0936,,,,Suite 94,,,
O320h85tL,C3239,R1422,,4/16/2022,Apt 604,4th Floor,,
O746y69mN,,,,,Suite 69,,,
O714k47rC,C0491,R1123,8/18/2022,,PO Box 52916,PO Box 8843,,4.4
O924f85xX,C9600,,,2/5/2022,Room 187,PO Box 62874,,
O153e57bO,C4073,,,,PO Box 59540,Suite 60,,
O030y46zQ,C9891,,7/17/2022,9/5/2022,Apt 759,,,
O097l71cI,C0985,,,,PO Box 90502,,,
O729i10oW,,,1/9/2022,1/29/2022,17th Floor,Suite 96,,3.5
O061o99dX,C5786,R3383,5/12/2022,8/9/2022,Suite 27,3rd Floor,,
O544r38lF,,R6496,,,Apt 1683,,,
O068g43aB,C6003,,6/26/2022,,17th Floor,,9.27,
